,0,1
0,-23.728346,-5.552544
1,28.430614,-6.5899987
2,13.048435,40.727825
3,-8.954389,23.390682
4,22.881483,-30.84157
5,43.711544,-11.76492
6,-32.403687,39.540165
7,-13.520668,-34.26512
8,14.165771,51.38182
9,-6.509366,21.64209
10,16.996525,-1.6039146
11,-37.347805,33.216263
12,25.726078,9.217413
13,14.3754635,-5.817909
14,-15.1165085,18.782682
15,-1.0524344,39.41191
16,-4.255757,-40.881676
17,23.266838,13.269539
18,10.870733,25.840742
19,1.5227134,7.4823837
20,-8.872432,-9.688865
21,10.701613,15.073775
22,-19.050797,-22.57906
23,12.039763,-11.110298
24,-30.927168,26.12264
25,-5.9630785,32.34635
26,-8.513858,-37.360577
27,-9.133287,30.06455
28,2.478042,-28.435844
29,-12.917027,2.406934
30,30.243834,5.1604004
31,-7.5218406,-2.8457234
32,-0.12573205,-41.89377
33,31.53519,-10.229206
34,-4.0113516,-33.178593
35,-26.235708,-18.22193
36,-30.35669,10.77426
37,18.740004,24.103346
38,17.879337,-36.69446
39,-26.825579,2.596026
40,1.3957406,3.5144181
41,14.462329,-4.9016705
42,-23.162111,-32.253044
43,27.414793,2.3988938
44,-10.194776,5.702274
45,5.927422,-8.232929
46,43.720024,-0.09976161
47,15.614137,-13.421068
48,3.1672745,15.1441765
49,-4.1561475,-6.840026
50,10.493567,29.507011
51,15.588145,-6.80808
52,37.45915,19.010342
53,34.57519,-24.958893
54,30.544638,-9.882544
55,-26.611275,-20.036018
56,8.732964,-30.62382
57,5.12706,48.216766
58,-30.489822,-8.994721
59,8.445271,14.537199
60,-18.650978,-13.423143
61,-34.374332,26.410917
62,9.256443,-11.93818
63,19.170115,15.10791
64,32.022385,26.682583
65,11.405564,33.313763
66,30.476,-10.139523
67,-17.489199,-44.88672
68,5.9900346,-27.844
69,7.6484017,-36.87427
70,32.27056,-10.669191
71,-4.4411926,-39.520477
72,29.491196,5.0506387
73,-14.905276,-13.605478
74,-3.0345235,-40.09592
75,-18.66455,5.1817813
76,20.627398,-19.013926
77,-10.4096775,-8.682568
78,-9.207296,-32.990654
79,-13.593924,43.869602
80,12.357154,1.2992027
81,-2.6088026,37.03078
82,-21.367125,-30.09768
83,-27.073023,-19.122145
84,-13.971192,27.704403
85,-18.785149,-9.753899
86,19.346296,15.979063
87,8.391846,-31.276415
88,-16.12501,13.218739
89,-20.039083,38.529003
90,-21.91295,-33.160286
91,-21.207458,0.15319239
92,6.954385,-34.442234
